,0,1
0,300 BLOCK OF SHIRLEY AVENUE,
1,LLEWELLYN AVENUE,SHIRLEY AVENUE
2,LLEWELLYN AVENUE,W PRINCESS ANNE ROAD
3,900 BLOCK OF TIDEWATER DRIVE,
4,CAMPOSTELLA ROAD,E BRAMBLETON AVENUE
5,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD,
6,3500 BLOCK OF SEWELLS POINT ROAD,
7,E LITTLE CREEK ROAD,GALVESTON BOULEVARD
8,4TH VIEW STREET,W OCEAN VIEW AVENUE
9,300 BLOCK OF E LITTLE CREEK ROAD,
10,E LITTLE CREEK ROAD,SAN ANTONIO BOULEVARD
11,ALEXANDER STREET,STRAND STREET
12,300 BLOCK OF SAN ANTONIO BOULEVARD,
13,400 BLOCK OF SAN ANTONIO BOULEVARD,
14,1100 BLOCK OF GEORGETOWN ROAD,
15,E BRAMBLETON AVENUE,SAINT PAULS BOULEVARD
16,BOUSH STREET,W OLNEY ROAD
17,E BRAMBLETON AVENUE,I-264W HIGHWAY
18,BALDWIN AVENUE,STOCKLEY GARDENS
19,CHURCH STREET,GOFF STREET
20,CHURCH STREET,E PRINCESS ANNE ROAD
21,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
22,DEBREE AVENUE,W PRINCESS ANNE ROAD
23,INGLESIDE ROAD,E PRINCESS ANNE ROAD
24,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
25,GOSNOLD AVENUE,W 26TH STREET
26,MUNSON STREET,W 26TH STREET
27,NEWPORT AVENUE,W 26TH STREET
28,COLONIAL AVENUE,W 26TH STREET
29,ARGONNE AVENUE,KITCHENER AVENUE
30,6200 BLOCK OF GENEVA WAY,
31,CHESAPEAKE BOULEVARD,FISHERMANS ROAD
32,2000 BLOCK OF E OCEAN VIEW AVENUE,
33,6600 BLOCK OF AZALEA GARDEN ROAD,
34,1000 BLOCK OF WARWICK AVENUE,
35,700 BLOCK OF EUWANEE PLACE,
36,100 BLOCK OF E WESTMONT AVENUE,
37,E BAYVIEW BOULEVARD,STURGIS STREET
38,CHESAPEAKE BOULEVARD,MIDDLETON PLACE
39,6500 BLOCK OF CHESAPEAKE BOULEVARD,
40,6200 BLOCK OF EDWARD STREET,
41,2400 BLOCK OF SEWELLS POINT ROAD,
42,ALDER STREET,DENVER AVENUE
43,TABB STREET,TIDEWATER DRIVE
44,1600 BLOCK OF MORRIS AVENUE,
45,E OCEAN VIEW AVENUE,STURGIS STREET
46,401 MONTICELLO AVENUE,
47,E 9TH STREET,MONTICELLO AVENUE
48,MARTONE ROAD,OLEO ROAD
49,900 BLOCK OF BOTETOURT GARDENS,
50,810 UNION STREET,
51,1600 BLOCK OF MADISON AVENUE,
52,900 BLOCK OF MADISON AVENUE,
53,E BRAMBLETON AVENUE,TIDEWATER DRIVE
54,CHURCH STREET,E BRAMBLETON AVENUE
55,CHAPEL STREET,E BRAMBLETON AVENUE
56,E BRAMBLETON AVENUE,ROSWELL AVENUE
57,E BRAMBLETON AVENUE,LANDING STREET
58,EVELYN T BUTTS AVENUE,AVENUE J
59,BERKLEY AVENUE EX,CAMPOSTELLA ROAD
60,800 BLOCK OF TIDEWATER DRIVE,
61,700 BLOCK OF TIDEWATER DRIVE,
62,GRANBY STREET,E WESTMONT AVENUE
63,400 BLOCK OF TIDEWATER DRIVE,
64,500 BLOCK OF TIDEWATER DRIVE,
65,600 BLOCK OF TIDEWATER DRIVE,
66,JOHNSTONS ROAD,NORTH GATE DRIVE
67,1800 BLOCK OF E LITTLE CREEK ROAD,
68,DEBREE AVENUE,W 29TH STREET
69,3900 BLOCK OF PLEASANT AVENUE,
70,2700 BLOCK OF PLEASANT AVENUE,
71,9500 BLOCK OF 15TH BAY STREET,
72,19TH BAY STREET,PLEASANT AVENUE
73,20TH BAY STREET,PLEASANT AVENUE
74,7TH BAY STREET,PLEASANT AVENUE
75,8TH BAY STREET,PLEASANT AVENUE
76,E LITTLE CREEK ROAD,FORT WORTH AVENUE
77,COLONIAL AVENUE,W PRINCESS ANNE ROAD
78,BLOW STREET,W PRINCESS ANNE ROAD
79,E VIRGINIA BEACH BOULEVARD,MAY AVENUE
80,CECELIA STREET,E OLNEY ROAD
81,E OLNEY ROAD,MALTBY CRESCENT
82,GRANBY STREET,W PRINCESS ANNE ROAD
83,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
84,E BRAMBLETON AVENUE,PARK AVENUE
85,LAFAYETTE BOULEVARD,VERDUN AVENUE
86,LAFAYETTE BOULEVARD,LENS AVENUE
87,BIRCH STREET,ROBIN HOOD ROAD
88,5900 BLOCK OF POPLAR HALL DRIVE,
89,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
90,E BRAMBLETON AVENUE,TIDEWATER DRIVE
91,600 BLOCK OF RESERVOIR AVENUE,
92,9500 BLOCK OF 10TH BAY STREET,
93,21ST BAY STREET,PRETTY LAKE AVENUE
94,16TH BAY STREET,PLEASANT AVENUE
95,19TH BAY STREET,PLEASANT AVENUE
96,8500 BLOCK OF GRANBY STREET,
97,1224 HANSON AVENUE,
98,2500 BLOCK OF WOOLSEY STREET,
99,19TH BAY STREET,PLEASANT AVENUE
100,2200 BLOCK OF KIMBALL TERRACE,
101,CROMWELL ROAD,LAFAYETTE BOULEVARD
102,1122 AZALEA GARDEN ROAD,
103,2205 MCKANN AVENUE,
104,MONTICELLO AVENUE,E 21ST STREET
105,MONTICELLO AVENUE,E 22ND STREET
106,MONTICELLO AVENUE,E 23RD STREET
107,MONTICELLO AVENUE,E 24TH STREET
108,MONTICELLO AVENUE,E 25TH STREET
109,900 BLOCK OF BAGNALL ROAD,
110,BOUSH STREET,W OLNEY ROAD
111,W OLNEY ROAD,W VIRGINIA BEACH BOULEVARD
112,1600 BLOCK OF MELON STREET,
113,GRACE STREET,YARMOUTH STREET
114,DELAWARE AVENUE,LLEWELLYN AVENUE
115,4600 BLOCK OF MAYFLOWER ROAD,
116,400 BLOCK OF TIDEWATER DRIVE,
117,DUKE STREET,W VIRGINIA BEACH BOULEVARD
118,BOUSH STREET,W VIRGINIA BEACH BOULEVARD
119,7TH BAY STREET,PRETTY LAKE AVENUE
120,3RD BAY STREET,PRETTY LAKE AVENUE
121,300 BLOCK OF E LITTLE CREEK ROAD,
122,I-264W HIGHWAY,BALLENTINE BOULEVARD
123,TIDEWATER DRIVE,WILLOW WOOD DRIVE
124,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
125,E BRAMBLETON AVENUE,I-264W HIGHWAY
126,SCOTT STREET,TRANT AVENUE
127,1100 BLOCK OF MARINER STREET,
128,FISHERMANS ROAD,CHESAPEAKE BOULEVARD
129,E BRAMBLETON AVENUE,CAMPOSTELLA ROAD
130,E PRINCESS ANNE ROAD,SALTER STREET
131,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
132,GOFF STREET,OKEEFE STREET
133,B AVENUE,SUTTON STREET
134,6345 EDWARD STREET,
135,MORTON AVENUE,W 25TH STREET
136,1200 BLOCK OF GOFF STREET,
137,17TH STREET,MONTICELLO AVENUE
138,300 BLOCK OF S NEWTOWN ROAD,
139,6100 BLOCK OF SEWELLS POINT ROAD,
140,1400 BLOCK OF KEMPSVILLE ROAD,
141,1200 BLOCK OF STRAND STREET,
142,9500 BLOCK OF 5TH BAY STREET,
143,6200 BLOCK OF SEWELLS POINT ROAD,
144,4200 BLOCK OF GRANBY STREET,
145,GRANBY STREET,LLEWELLYN AVENUE
146,DELAWARE AVENUE,MAYFLOWER ROAD
147,I-264E HIGHWAY,TIDEWATER DRIVE
148,E OCEAN VIEW AVENUE,SHORE DRIVE
149,38TH STREET,POWHATAN AVENUE
150,43RD STREET,POWHATAN AVENUE
151,7200 BLOCK OF HAMPTON BOULEVARD,
152,4TH VIEW STREET,W OCEAN VIEW AVENUE
153,TIDEWATER DRIVE,NORVIEW AVENUE
154,5TH VIEW STREET,W OCEAN VIEW AVENUE
155,15TH VIEW STREET,W OCEAN VIEW AVENUE
156,6TH VIEW STREET,W OCEAN VIEW AVENUE
157,1200 BLOCK OF LAFAYETTE BOULEVARD,
158,HAMPTON BOULEVARD,LEXAN AVENUE
159,13TH VIEW STREET,W OCEAN VIEW AVENUE
160,14TH VIEW STREET,W OCEAN VIEW AVENUE
161,12TH VIEW STREET,W OCEAN VIEW AVENUE
162,8TH VIEW STREET,W OCEAN VIEW AVENUE
163,10TH VIEW STREET,W OCEAN VIEW AVENUE
164,49TH STREET,HAMPTON BOULEVARD
165,BEDFORD AVENUE,HAMPTON BOULEVARD
166,HAMPTON BOULEVARD,MANCHESTER AVENUE
167,HAMPTON BOULEVARD,HANOVER AVENUE
168,HAMPTON BOULEVARD,SURREY CRESCENT
169,1700 BLOCK OF FONTAINEBLEAU CRESCENT,
170,HAMPTON BOULEVARD,BRUNSWICK AVENUE
171,HAMPTON BOULEVARD,WESTMORELAND AVENUE
172,HAMPTON BOULEVARD,ROCKBRIDGE AVENUE
173,HAMPTON BOULEVARD,MAGNOLIA AVENUE
174,HAMPTON BOULEVARD,BUCKINGHAM AVENUE
175,BOLLING AVENUE,HAMPTON BOULEVARD
176,5600 BLOCK OF TIDEWATER DRIVE,
177,200 BLOCK OF KEMPSVILLE ROAD,
178,CHURCH STREET,GOFF STREET
179,NORVIEW AVENUE,SEDGEFIELD DRIVE
180,800 BLOCK OF E BRAMBLETON AVENUE,
181,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,
182,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,
183,LENS AVENUE,SHOOP AVENUE
184,1ST BAY STREET,E OCEAN VIEW AVENUE
185,MONTICELLO AVENUE,E 21ST STREET
186,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
187,600 E OCEAN VIEW AVENUE,
188,615 W LITTLE CREEK ROAD,
189,COLLEY AVENUE,RALEIGH AVENUE
190,8081 HAMPTON BOULEVARD,
191,9000 HAMPTON BOULEVARD,
192,400 BEECHWOOD AVENUE,
193,DEGRASSE AVENUE,LAFAYETTE BOULEVARD
194,5765 LESLIE AVENUE,
195,1018 BERKLEY AVENUE EX,
196,508 E INDIAN RIVER ROAD,
197,9600 BLOCK OF 10TH VIEW STREET,
198,9600 BLOCK OF SALEM STREET,
199,1400 BLOCK OF LITTLE BAY AVENUE,
200,JANAF PLACE,LOWERY ROAD
201,3436 WESTMINSTER AVENUE,
202,4852 ELMHURST AVENUE,
203,265 W TAZEWELL STREET,
204,1040 W OCEAN VIEW AVENUE,
205,9700 BLOCK OF 15TH VIEW STREET,
206,1500 BLOCK OF CHELA AVENUE,
207,1500 BLOCK OF LEA VIEW AVENUE,
208,9600 BLOCK OF RALLSTON STREET,
209,1017 LITTLE BAY AVENUE,
210,7720 NEWPORT AVENUE,
211,800 BLOCK OF LITTLE BAY AVENUE,
212,HERBERT STREET,ELMHURST AVENUE
213,800 BLOCK OF 51ST STREET,
214,16TH BAY STREET,PLEASANT AVENUE
215,GRACE STREET,MEMORIAL PLACE
216,19TH BAY STREET,PLEASANT AVENUE
217,W MAIN STREET,WATERSIDE DRIVE
218,HAMPTON BOULEVARD,LARCHMONT CRESCENT
219,HAMPTON BOULEVARD,LEXAN AVENUE
220,HAMPTON BOULEVARD,MAGNOLIA AVENUE
221,2200 BLOCK OF KIMBALL TERRACE,
222,600 BLOCK OF W BRAMBLETON AVENUE,
223,FAUQUIER STREET,WHITEHEAD AVENUE
224,MIDTOWN TUNNEL,W BRAMBLETON AVENUE
225,E BRAMBLETON AVENUE,TIDEWATER DRIVE
226,1000 BLOCK OF MONTICELLO AVENUE,
227,9600 BLOCK OF 4TH VIEW STREET,
228,4TH VIEW STREET,W OCEAN VIEW AVENUE
229,800 BLOCK OF E CITY HALL AVENUE,
230,500 BLOCK OF W OCEAN VIEW AVENUE,
231,BELLAMY AVENUE,FAUQUIER STREET
232,COLONIAL AVENUE,REDGATE AVENUE
233,GRANBY STREET,LLEWELLYN AVENUE
234,9000 BLOCK OF HAMPTON BOULEVARD,
235,E MAIN STREET,PARK AVENUE
236,CHAPEL STREET,E CHARLOTTE STREET
237,E VIRGINIA BEACH BOULEVARD,MONTICELLO AVENUE
238,6100 SEDGEFIELD DRIVE,
239,800 BLOCK OF NORVIEW AVENUE,
240,CAMPOSTELLA ROAD,KIMBALL TERRACE
241,BOLLING AVENUE,JAMESTOWN CRESCENT
242,MOWBRAY ARCH,W OLNEY ROAD
243,700 BLOCK OF STOCKLEY GARDENS,
244,E BRAMBLETON AVENUE,ROSWELL AVENUE
245,E BRAMBLETON AVENUE,I-264E HIGHWAY
246,100 BLOCK OF E CHARLOTTE STREET,
247,1100 BLOCK OF HOLT STREET,
248,ARMISTEAD AVENUE,E PRINCESS ANNE ROAD
249,300 BLOCK OF E CITY HALL AVENUE,
250,49TH STREET,HAMPTON BOULEVARD
251,E CHARLOTTE STREET,RUFFNER STREET
252,MAYFLOWER ROAD,W 41ST STREET
253,MAYFLOWER ROAD,W 42ND STREET
254,38TH STREET,CAROLINA AVENUE
255,1400 BLOCK OF KEMPSVILLE ROAD,
256,KEMPSVILLE ROAD,LOWERY ROAD
257,2200 BLOCK OF E OCEAN VIEW AVENUE,
258,900 BLOCK OF BAGNALL ROAD,
259,6700 BLOCK OF AZALEA GARDEN ROAD,
260,1900 BLOCK OF E OCEAN VIEW AVENUE,
261,1100 BLOCK OF MARSH STREET,
262,3RD BAY STREET,PRETTY LAKE AVENUE
263,6200 BLOCK OF ALEXANDER STREET,
264,7500 BLOCK OF TIDEWATER DRIVE,
265,TIDEWATER DRIVE,WILLOW WOOD DRIVE
266,1000 BLOCK OF 49TH STREET,
267,E 22ND STREET,MONTICELLO AVENUE
268,400 BLOCK OF W OCEAN VIEW AVENUE,
269,SAINT PAULS BOULEVARD,UNION STREET
270,1300 BLOCK OF UPPER BRANDON PLACE,
271,1300 BLOCK OF SURREY CRESCENT,
272,E LITTLE CREEK ROAD,TIDEWATER DRIVE
273,300 BLOCK OF E LITTLE CREEK ROAD,
274,SAINT PAULS BOULEVARD,WATERSIDE DRIVE
275,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
276,9500 BLOCK OF SHORE DRIVE,
277,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
278,2500 BLOCK OF E OCEAN VIEW AVENUE,
279,6TH BAY STREET,PRETTY LAKE AVENUE
280,DUKE STREET,W BRAMBLETON AVENUE
281,BOTETOURT STREET,W BRAMBLETON AVENUE
282,COLLEGE PLACE,YARMOUTH STREET
283,ALEXANDER STREET,STRAND STREET
284,COLLEY AVENUE,W BRAMBLETON AVENUE
285,E BRAMBLETON AVENUE,TIDEWATER DRIVE
286,E CITY HALL AVENUE,TIDEWATER DRIVE
287,HAMPTON BOULEVARD,NORTH SHORE ROAD
288,7200 BLOCK OF NEWPORT AVENUE,
289,300 BLOCK OF YARMOUTH STREET,
290,5600 BLOCK OF TIDEWATER DRIVE,
291,1145 BOLLING AVENUE,
292,DELAWARE AVENUE,GRANBY STREET
293,HARBOUR STREET,W TAZEWELL STREET
294,200 BLOCK OF BROOKE AVENUE,
295,9600 BLOCK OF 3RD BAY STREET,
296,14TH VIEW STREET,W OCEAN VIEW AVENUE
297,700 BLOCK OF LIGON STREET,
298,COLLEY AVENUE,REDGATE AVENUE
299,E BERKLEY AVENUE,FAUQUIER STREET
300,NORVIEW AVENUE,TIDEWATER DRIVE
301,500 BLOCK OF E INDIAN RIVER ROAD,
302,1600 BLOCK OF CHURCH STREET,
303,GILES CIRCLE,NORVIEW AVENUE
304,300 BLOCK OF W BRAMBLETON AVENUE,
305,8TH BAY STREET,E OCEAN VIEW AVENUE
306,1300 BLOCK OF E BRAMBLETON AVENUE,
307,E VIRGINIA BEACH BOULEVARD,GRANBY STREET
308,5200 BLOCK OF NORVELLA AVENUE,
309,SHIRLEY AVENUE,LLEWELLYN AVENUE
310,2800 BLOCK OF E PRINCESS ANNE ROAD,
311,300 BLOCK OF ROGERS AVENUE,
312,HAMPTON BOULEVARD,JAMESTOWN CRESCENT
313,E BAYVIEW BOULEVARD,WILLOW TERRACE
314,1156 LAND STREET,
315,COMSTOCK STREET,WESTMINSTER AVENUE
316,E VIRGINIA BEACH BOULEVARD,HANSON AVENUE
317,COLLEY AVENUE,RALEIGH AVENUE
318,GRANBY STREET,LLEWELLYN AVENUE
319,800 BLOCK OF 51ST STREET,
320,BOTETOURT STREET,MOWBRAY ARCH
321,MAYFLOWER ROAD,VIRGINIA AVENUE
322,600 BLOCK OF TIDEWATER DRIVE,
323,20TH BAY STREET,PLEASANT AVENUE
324,9600 BLOCK OF 1ST BAY STREET,
325,9600 BLOCK OF 2ND BAY STREET,
326,9600 BLOCK OF 3RD BAY STREET,
327,9600 BLOCK OF 4TH BAY STREET,
328,9600 BLOCK OF 5TH BAY STREET,
329,9500 BLOCK OF 7TH BAY STREET,
330,9600 BLOCK OF 7TH BAY STREET,
331,MAGNOLIA AVENUE,HAMPTON BOULEVARD
332,E VIRGINIA BEACH BOULEVARD,GRANBY STREET
333,4TH VIEW STREET,W OCEAN VIEW AVENUE
334,BEAUMONT STREET,MODOC AVENUE
335,SHORE DRIVE,PLEASANT AVENUE
336,9600 BLOCK OF 8TH BAY STREET,
337,9600 BLOCK OF 9TH BAY STREET,
338,9600 BLOCK OF 10TH BAY STREET,
339,9600 BLOCK OF 11TH BAY STREET,
340,9600 BLOCK OF 13TH BAY STREET,
341,9600 BLOCK OF 14TH BAY STREET,
342,9600 BLOCK OF 15TH BAY STREET,
343,9600 BLOCK OF 17TH BAY STREET,
344,9600 BLOCK OF 18TH BAY STREET,
345,9600 BLOCK OF 19TH BAY STREET,
346,9600 BLOCK OF 20TH BAY STREET,
347,E LITTLE CREEK ROAD,GALVESTON BOULEVARD
348,BOUSH STREET,W OLNEY ROAD
